City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,kapaa,40,US,1524711360,73,22.08,-159.32,78.8,18.34
119,la plata,12,AR,1524711600,94,-34.92,-57.95,73.4,5.82
120,bondo,76,CD,1524712737,99,3.81,23.69,70.17,2.62
121,bathsheba,40,BB,1524711600,78,13.22,-59.52,78.8,18.34
122,kokologo,8,BF,1524712737,63,12.19,-1.88,81.42,11.12
123,fortuna,0,ES,1524711600,59,38.18,-1.13,66.2,5.82
124,hailar,0,CN,1524712738,40,49.2,119.7,50.46,11.01
125,luanda,75,AO,1524708000,88,-8.83,13.24,78.8,3.36
126,kirakira,64,SB,1524712738,100,-10.46,161.92,84.12,7.87
127,kalulushi,0,ZM,1524712738,64,-12.84,28.09,53.43,6.53
128,thinadhoo,8,MV,1524712738,100,0.53,72.93,83.76,10.78
129,lazaro cardenas,40,MX,1524710460,27,28.39,-105.62,73.4,11.41
130,carmen,8,PH,1524712739,71,7.2,124.8,87.18,4.29
131,mogadishu,68,SO,1524712477,100,2.04,45.34,82.95,14.03
132,tura,92,IN,1524712739,93,25.52,90.21,70.53,5.75
133,kudahuvadhoo,56,MV,1524712739,100,2.67,72.89,84.39,11.01
134,kavieng,48,PG,1524712739,100,-2.57,150.8,85.83,9.66
135,glendive,1,US,1524711300,37,47.11,-104.71,57.2,11.41
136,carnarvon,8,ZA,1524712740,68,-30.97,22.13,48.75,16.82
137,beisfjord,88,NO,1524711000,93,68.38,17.6,35.6,2.24
138,guerrero negro,44,MX,1524712740,70,27.97,-114.04,62.88,8.32
139,ahuimanu,20,US,1524711420,69,21.44,-157.84,80.6,10.29
140,cabo san lucas,5,MX,1524711060,19,22.89,-109.91,84.2,11.23
141,longyearbyen,20,NO,1524711000,60,78.22,15.63,8.6,16.11
142,invermere,0,CA,1524712741,57,50.51,-116.03,39.93,1.39
143,yulara,90,AU,1524711600,43,-25.24,130.99,73.4,16.11
144,talcahuano,75,CL,1524711600,87,-36.72,-73.12,50.0,11.68
145,constitucion,90,MX,1524710880,13,23.99,-104.67,77.0,9.17
146,porto novo,44,BR,1524711600,93,-23.68,-45.44,66.2,2.24
